s/ ativ;c/ ativ
0;10
0;0
0;84
117;0
0;235
294;0
0;0
0;37
58;0
0;282
315;0
0;0
0;54
179;0
0;208
0;0
22;0
0;78
186;0
0;256
0;16
26;0
0;44
368;0
27;282
0;0
212;0
0;108
0;0
0;247
0;0
235;0
0;41
0;0
97;261
0;0
327;0
0;45
0;0
112;130
0;0
0;0
74;82
0;0
225;247
0;0
0;0
27;19
0;0
265;202
0;0
0;0
113;106
0;0
314;262
170;0
0;0
0;109
16;0
0;218
250;0
0;0
0;0
143;0
0;114
327;0
7;0
0;116
321;0
0;352
0;0
121;0
0;84
268;0
0;286
0;0
80;0
0;80
111;0
39;210
0;0
171;0
17;27
0;0
16;171
0;10
257;0
0;0
0;0
117;123
0;0
352;0
0;64
0;0
136;115
0;0
0;48
80;0
0;0
232;110
17;0
0;330
0;52
395;48
49;0
0;183
89;0
0;0
294;106
0;0
0;213
237;16
0;0
0;13
38;0
0;181
197;0
0;0
0;95
47;0
0;193
351;0
30;0
0;0
80;0
0;266
36;0
0;0
0;43
313;0
0;217
0;0
87;0
0;21
298;0
0;218
0;1
119;0
0;35
0;0
65;253
0;0
127;0
0;118
0;0
0;223
0;0
366;0
0;29
0;0
148;319
0;0
80;0
0;316
127;5
65;0
0;64
112;0
0;250
320;0
0;0
0;92
75;0
0;258
330;0
0;0
0;34
201;0
89;275
594;26
110;0
0;76
171;0
0;281
0;0
67;0
0;137
174;0
0;277
0;31
64;0
0;39
310;0
23;242
0;0
93;0
0;64
83;0
0;197
0;0
211;0
0;41
0;0
48;269
0;14
242;0
0;26
0;0
162;219
90;0
0;0
0;0
0;101
0;0
238;213
0;0
0;0
45;16
0;0
278;251
0;0
0;0
141;22
0;0
336;185
38;0
0;0
93;95
0;0
304;211
0;0
0;0
113;27
0;0
315;161
0;0
0;0
123;29
0;0
0;144
93;0
0;0
239;0
0;0
0;144
65;0
0;0
420;48
18;0
0;117
134;0
0;0
0;0
0;0
0;188
221;0
0;0
0;16
0;0
48;95
0;0
305;16
1;400
0;28
80;0
0;81
335;0
0;274
0;0
204;0
0;80
0;0
17;324
0;22
227;0
0;35
0;0
58;261
0;0
295;0
29;144
0;0
62;297
0;15
315;0
0;32
0;0
162;359
0;1
0;0
2;91
0;0
176;293
0;0
0;0
27;92
0;0
192;325
0;19
0;0
11;74
0;0
239;265
0;0
0;0
167;150
0;0
0;336
0;11
144;0
0;60
359;0
4;353
0;50
109;0
0;100
0;0
64;334
0;0
176;0
3;135
0;0
9;316
0;0
357;0
0;82
0;0
132;268
0;0
237;0
0;112
0;0
58;0
0;0
311;0
0;129
0;0
142;368
0;42
311;0
0;105
0;0
144;345
0;0
0;0
80;163
0;0
224;314
2;0
0;0
0;58
0;0
196;331
0;7
0;0
125;58
0;58
0;0
0;167
57;0
0;0
207;11
0;0
0;204
37;0
0;0
354;0
43;0
0;144
112;0
0;0
0;0
0;0
0;95
197;0
0;331
0;0
38;0
0;127
208;0
0;353
0;44
30;0
0;71
278;0
44;326
0;0
63;0
0;174
308;0
0;319
0;0
189;0
0;70
0;0
39;423
0;21
211;0
0;112
0;0
112;307
0;0
234;0
22;129
0;0
38;0
61;0
0;83
96;0
0;140
0;0
16;0
0;0
285;0
16;289
0;0
16;0
0;54
289;0
0;253
0;0
149;0
0;32
0;0
83;257
0;6
191;0
0;35
0;0
32;259
0;0
426;0
18;112
0;0
67;198
0;0
39;0
0;15
320;0
0;240
0;0
169;0
0;0
0;0
18;113
0;0
272;0
0;58
0;0
105;177
0;7
0;0
50;0
0;0
126;144
0;0
0;0
81;0
0;38
272;0
3;106
0;0
64;0
0;0
0;0
45;215
0;0
176;0
0;7
0;0
0;129
0;0
237;0
0;64
0;0
160;194
0;0
335;0
0;0
0;0
161;162
0;0
0;0
16;78
0;0
244;115
12;0
0;259
32;0
0;0
295;204
0;0
0;289
193;58
0;0
0;54
10;0
0;304
128;0
0;0
0;111
90;0
0;321
209;0
0;0
181;61
0;0
362;0
17;319
0;34
118;0
0;28
0;0
0;288
0;0
207;0
0;112
0;0
48;288
0;0
289;0
0;34
0;0
176;328
0;1
135;0
68;77
0;0
179;256
0;0
0;0
32;119
0;0
275;302
0;27
0;0
79;55
0;0
336;336
0;0
0;0
177;176
0;0
0;310
83;0
0;0
166;93
0;0
0;319
17;0
0;0
310;134
14;0
0;0
359;0
61;0
0;369
137;0
0;0
0;144
16;0
0;321
279;0
2;0
0;39
70;0
0;274
239;0
0;0
0;105
39;0
0;321
359;0
25;0
0;59
113;0
0;305
0;46
0;0
0;64
258;0
0;282
0;0
80;0
0;128
289;0
0;331
0;0
93;0
0;87
243;0
18;0
0;0
161;0
0;152
0;0
6;227
0;0
274;0
11;123
0;0
81;263
229;58
0;7
0;0
111;53
0;0
339;294
0;0
0;0
137;128
0;0
0;261
16;0
0;0
176;48
2;0
208;312
0;0
0;0
199;79
0;0
0;279
35;0
0;0
241;54
0;0
0;314
54;0
0;0
394;43
26;0
0;230
144;0
1;0
0;95
3;0
0;193
179;4
0;0
0;0
110;0
0;183
326;0
0;0
0;75
112;0
0;115
0;0
56;0
0;0
0;0
161;219
0;0
0;0
26;226
0;0
267;0
95;67
0;0
133;273
0;0
300;0
23;35
0;0
64;268
0;0
242;0
0;154
0;0
164;261
0;21
0;0
9;47
0;0
155;429
0;0
0;0
16;117
0;0
240;285
0;0
0;0
29;49
0;0
246;306
0;0
0;0
89;117
0;0
267;325
16;0
0;0
128;121
0;0
0;387
16;27
0;0
307;51
0;0
102;275
0;0
0;0
0;346
0;0
242;0
0;82
0;0
39;409
0;52
240;0
0;151
0;0
175;0
0;0
155;0
32;145
0;0
96;89
0;39
94;0
0;114
0;0
197;330
23;0
0;0
16;128
0;0
222;323
0;0
0;0
142;85
0;0
303;315
0;37
0;0
59;66
0;0
547;288
47;0
0;0
144;155
0;0
226;282
0;29
0;0
133;48
0;0
86;303
0;79
449;0
16;269
0;0
113;0
0;76
153;0
20;303
0;0
131;0
1;80
0;0
0;272
0;12
226;0
0;77
0;0
94;314
0;0
353;0
0;164
0;0
119;347
0;51
0;0
104;80
0;0
235;298
21;0
0;0
7;106
0;0
307;320
0;0
0;0
112;64
0;0
327;285
0;0
0;0
145;106
0;0
0;338
106;0
0;0
221;88
0;0
77;386
0;146
384;0
39;0
0;60
144;0
0;131
0;0
2;194
0;0
227;0
0;113
0;0
77;293
0;4
299;0
0;67
0;0
80;290
0;0
286;0
43;95
0;0
160;293
0;19
0;0
16;22
0;0
272;240
2;0
0;0
69;129
0;0
303;169
0;0
0;0
178;3
0;0
368;305
16;0
0;247
109;18
0;262
0;0
0;0
0;106
230;0
33;336
13;0
0;363
264;32
13;0
0;74
34;0
0;311
240;0
0;0
0;102
177;0
0;207
332;0
48;0
0;51
119;0
0;347
0;38
18;0
0;76
313;0
16;270
0;0
40;0
0;61
240;0
0;230
0;0
166;0
0;0
0;0
67;225
0;0
259;0
18;82
0;0
37;240
0;0
295;0
0;24
0;0
112;265
0;14
315;0
0;53
0;0
101;225
0;0
0;0
211;0
0;131
0;0
51;123
0;0
283;0
0;109
0;0
80;410
0;41
0;0
66;126
0;0
205;20
0;0
0;0
38;101
0;0
427;336
0;47
0;0
138;54
0;0
0;283
0;0
0;0
153;115
0;0
0;271
0;17
0;0
263;34
19;0
0;319
67;0
0;0
308;65
0;0
0;242
193;0
0;0
0;67
16;0
0;304
187;21
0;0
0;63
103;0
48;90
0;0
0;0
0;142
0;0
171;0
0;3
0;0
105;193
0;0
251;0
0;93
0;0
108;155
0;0
172;0
0;0
113;0
0;304
0;0
17;0
0;21
371;0
5;124
0;0
59;0
0;1
288;0
0;146
0;0
176;347
0;0
237;0
54;105
0;0
172;369
0;59
0;0
46;78
0;0
0;303
21;0
0;0
189;160
0;0
0;350
42;9
0;0
335;46
0;32
161;0
0;241
0;0
27;0
0;23
211;0
0;150
0;0
171;0
0;64
0;0
16;156
0;0
215;0
0;0
0;0
67;122
0;0
341;250
38;31
0;0
110;112
0;0
0;0
6;0
0;0
277;175
9;0
0;0
74;8
0;0
351;130
0;0
0;130
169;50
0;0
371;143
13;0
0;233
128;0
0;0
0;112
81;0
0;320
211;44
17;0
0;63
34;0
80;0
0;90
265;0
0;372
0;29
138;0
0;209
375;0
33;0
0;0
117;0
0;146
0;0
0;197
0;5
208;0
0;101
0;0
30;253
0;0
236;0
0;111
0;0
119;298
0;0
338;0
45;80
0;0
77;338
0;1
0;0
0;39
0;0
226;259
0;0
0;0
143;34
0;0
285;242
0;20
0;0
49;210
0;0
295;0
17;15
0;0
57;294
0;16
0;0
0;17
0;0
0;335
179;0
0;0
0;52
38;0
0;153
305;0
0;0
0;1
85;0
0;202
0;16
0;125
0;0
230;0
0;127
0;0
39;237
0;65
277;0
0;115
0;0
155;328
0;0
368;0
6;179
0;0
127;332
0;0
0;0
87;74
0;0
240;291
0;0
0;0
25;100
0;0
283;298
0;0
0;0
208;52
0;0
0;306
16;26
0;0
169;81
0;0
0;395
102;2
201;0
4;115
0;0
5;332
0;0
272;0
0;189
0;0
162;384
0;35
336;0
0;101
0;0
103;336
0;0
0;0
73;29
0;0
160;293
0;0
0;0
0;219
0;98
201;614
0;179
0;70
80;144
0;4
284;331
0;0
0;0
93;109
0;0
53;267
83;10
0;0
178;149
0;0
0;318
0;294
0;0
304;0
0;16
0;0
109;272
0;0
272;0
0;48
0;0
0;208
339;0
0;0
0;96
174;0
0;219
0;1
117;0
0;16
285;0
32;288
0;0
65;0
0;64
174;0
0;155
0;0
62;0
0;64
291;0
0;176
0;0
60;0
0;37
345;0
33;190
0;0
133;0
0;17
0;0
0;144
0;0
288;307
0;0
0;0
49;93
0;0
288;370
0;61
0;0
93;282
0;0
395;0
60;51
0;0
143;166
0;0
0;0
0;0
336;0
39;277
0;0
83;0
0;16
0;0
0;140
0;0
186;0
0;50
0;0
0;142
0;0
189;63
0;0
0;0
119;187
0;0
240;314
0;3
0;0
42;51
0;0
288;306
0;0
0;0
112;83
0;0
334;227
0;0
0;0
