s/ ativ;c/ ativ;;media;DesvPad;RMS;max
290;0;s/atv;"60,0286645";"99,15171894";"115,8934926";517
0;279;c/atv;"58,92332684";"97,25414392";"113,6980829";545
379;16;;;;;
39;0;;;;;
0;64;;;;;
112;0;;;;;
0;226;;;;;
292;0;;;;;
0;0;;;;;
0;34;;;;;
176;0;;;;;
0;303;;;;;
95;0;;;;;
50;0;;;;;
0;218;;;;;
106;98;;;;;
0;545;;;;;
303;209;;;;;
0;70;;;;;
0;153;;;;;
165;6;;;;;
0;263;;;;;
333;0;;;;;
0;0;;;;;
0;119;;;;;
65;0;;;;;
0;0;;;;;
272;0;;;;;
0;0;;;;;
0;156;;;;;
81;0;;;;;
0;0;;;;;
234;0;;;;;
0;0;;;;;
0;161;;;;;
26;0;;;;;
0;282;;;;;
258;0;;;;;
0;0;;;;;
0;135;;;;;
64;0;;;;;
0;0;;;;;
143;0;;;;;
0;0;;;;;
0;140;;;;;
31;0;;;;;
0;0;;;;;
142;48;;;;;
0;0;;;;;
0;134;;;;;
0;0;;;;;
0;0;;;;;
199;0;;;;;
0;89;;;;;
0;0;;;;;
54;432;;;;;
0;6;;;;;
243;0;;;;;
0;153;;;;;
0;7;;;;;
162;0;;;;;
0;0;;;;;
271;0;;;;;
0;103;;;;;
0;0;;;;;
71;157;;;;;
0;59;;;;;
289;0;;;;;
0;149;;;;;
0;0;;;;;
97;0;;;;;
0;0;;;;;
339;0;;;;;
10;200;;;;;
0;0;;;;;
80;0;;;;;
0;29;;;;;
221;0;;;;;
0;117;;;;;
0;0;;;;;
139;293;;;;;
0;0;;;;;
81;0;;;;;
0;134;;;;;
0;0;;;;;
137;177;;;;;
0;0;;;;;
0;0;;;;;
73;109;;;;;
0;0;;;;;
159;314;;;;;
1;23;;;;;
0;0;;;;;
0;129;;;;;
0;0;;;;;
258;0;;;;;
0;0;;;;;
294;0;;;;;
2;140;;;;;
0;0;;;;;
0;0;;;;;
0;48;;;;;
208;32;;;;;
0;0;;;;;
133;157;;;;;
0;0;;;;;
348;0;;;;;
37;0;;;;;
0;0;;;;;
77;149;;;;;
0;0;;;;;
310;153;;;;;
0;0;;;;;
0;0;;;;;
147;129;;;;;
0;0;;;;;
317;246;;;;;
0;47;;;;;
0;0;;;;;
