s/ ativ;c/ ativ;;;;;
0;79;;media;DesvPad;RMS;max
0;0;s/atv;"58,17178907";"96,54453134";"112,7022098";469
99;176;c/atv;"56,37682098";"93,48053914";"109,1518584";499
0;0;;;;;
216;0;;;;;
0;0;;;;;
0;0;;;;;
6;159;;;;;
0;0;;;;;
287;0;;;;;
0;0;;;;;
0;0;;;;;
70;129;;;;;
0;0;;;;;
221;0;;;;;
0;0;;;;;
0;0;;;;;
105;144;;;;;
0;0;;;;;
219;0;;;;;
22;67;;;;;
0;0;;;;;
16;139;;;;;
0;4;;;;;
175;0;;;;;
0;0;;;;;
0;0;;;;;
54;83;;;;;
0;0;;;;;
144;320;;;;;
0;16;;;;;
0;0;;;;;
0;59;;;;;
0;0;;;;;
122;286;;;;;
0;0;;;;;
348;0;;;;;
11;119;;;;;
0;0;;;;;
107;304;;;;;
0;0;;;;;
0;0;;;;;
0;63;;;;;
0;0;;;;;
166;331;;;;;
0;0;;;;;
76;0;;;;;
0;65;;;;;
0;0;;;;;
131;272;;;;;
0;0;;;;;
0;0;;;;;
54;78;;;;;
0;0;;;;;
127;225;;;;;
23;0;;;;;
0;0;;;;;
223;127;;;;;
0;0;;;;;
0;0;;;;;
91;197;;;;;
0;0;;;;;
211;351;;;;;
0;48;;;;;
0;0;;;;;
19;100;;;;;
0;0;;;;;
302;0;;;;;
0;0;;;;;
0;0;;;;;
76;192;;;;;
0;0;;;;;
247;316;;;;;
0;0;;;;;
0;0;;;;;
144;91;;;;;
0;0;;;;;
173;266;;;;;
0;0;;;;;
73;0;;;;;
0;64;;;;;
52;0;;;;;
0;208;;;;;
0;0;;;;;
234;0;;;;;
0;49;;;;;
0;0;;;;;
19;319;;;;;
0;15;;;;;
133;0;;;;;
0;26;;;;;
0;0;;;;;
53;192;;;;;
0;0;;;;;
124;0;;;;;
0;0;;;;;
0;0;;;;;
0;120;;;;;
0;0;;;;;
146;372;;;;;
0;110;;;;;
0;66;;;;;
57;190;;;;;
0;36;;;;;
192;0;;;;;
0;33;;;;;
0;0;;;;;
0;208;;;;;
137;0;;;;;
0;0;;;;;
0;122;;;;;
71;0;;;;;
0;269;;;;;
146;0;;;;;
0;0;;;;;
0;17;;;;;
0;0;;;;;
0;224;;;;;
223;0;;;;;
0;0;;;;;
0;100;;;;;
57;0;;;;;
0;293;;;;;
101;0;;;;;
0;0;;;;;
285;64;;;;;
0;0;;;;;
0;336;;;;;
128;16;;;;;
0;0;;;;;
302;71;;;;;
0;0;;;;;
0;293;;;;;
38;0;;;;;
0;0;;;;;
279;65;;;;;
0;0;;;;;
0;295;;;;;
47;21;;;;;
0;0;;;;;
195;47;;;;;
0;0;;;;;
0;219;;;;;
5;0;;;;;
0;0;;;;;
220;112;;;;;
0;0;;;;;
0;208;;;;;
39;0;;;;;
0;0;;;;;
240;0;;;;;
0;0;;;;;
0;0;;;;;
81;77;;;;;
0;0;;;;;
208;217;;;;;
0;0;;;;;
0;0;;;;;
62;25;;;;;
0;0;;;;;
94;251;;;;;
0;0;;;;;
77;0;;;;;
0;48;;;;;
0;0;;;;;
141;233;;;;;
0;0;;;;;
171;0;;;;;
0;46;;;;;
0;0;;;;;
67;357;;;;;
0;49;;;;;
381;0;;;;;
17;122;;;;;
0;0;;;;;
120;0;;;;;
0;0;;;;;
267;0;;;;;
0;221;;;;;
0;0;;;;;
70;0;;;;;
0;68;;;;;
350;0;;;;;
47;131;;;;;
0;0;;;;;
66;0;;;;;
0;0;;;;;
249;0;;;;;
0;208;;;;;
0;0;;;;;
105;0;;;;;
0;22;;;;;
268;0;;;;;
0;173;;;;;
0;0;;;;;
10;0;;;;;
0;0;;;;;
277;0;;;;;
0;121;;;;;
0;0;;;;;
50;0;;;;;
0;0;;;;;
171;0;;;;;
0;129;;;;;
0;0;;;;;
0;240;;;;;
127;0;;;;;
0;0;;;;;
256;47;;;;;
39;0;;;;;
0;269;;;;;
90;0;;;;;
0;0;;;;;
304;128;;;;;
0;0;;;;;
0;256;;;;;
194;0;;;;;
0;0;;;;;
75;45;;;;;
16;0;;;;;
0;286;;;;;
255;0;;;;;
0;0;;;;;
0;33;;;;;
43;0;;;;;
0;235;;;;;
206;0;;;;;
0;0;;;;;
0;112;;;;;
4;0;;;;;
0;226;;;;;
126;13;;;;;
0;0;;;;;
0;16;;;;;
48;0;;;;;
0;236;;;;;
172;0;;;;;
0;0;;;;;
0;120;;;;;
0;0;;;;;
0;192;;;;;
134;7;;;;;
0;0;;;;;
0;114;;;;;
61;10;;;;;
0;267;;;;;
97;0;;;;;
0;0;;;;;
0;48;;;;;
0;0;;;;;
0;192;;;;;
114;229;;;;;
0;0;;;;;
0;0;;;;;
46;16;;;;;
83;0;;;;;
0;193;;;;;
144;0;;;;;
0;0;;;;;
0;11;;;;;
0;0;;;;;
0;130;;;;;
240;0;;;;;
0;0;;;;;
0;9;;;;;
38;0;;;;;
0;144;;;;;
114;0;;;;;
0;0;;;;;
0;0;;;;;
0;0;;;;;
0;145;;;;;
161;0;;;;;
0;15;;;;;
301;59;;;;;
0;0;;;;;
0;100;;;;;
99;0;;;;;
0;0;;;;;
288;0;;;;;
67;0;;;;;
0;130;;;;;
102;0;;;;;
0;310;;;;;
297;66;;;;;
0;0;;;;;
0;64;;;;;
135;0;;;;;
0;384;;;;;
320;2;;;;;
0;0;;;;;
0;175;;;;;
60;0;;;;;
0;266;;;;;
208;0;;;;;
0;0;;;;;
0;49;;;;;
109;0;;;;;
0;336;;;;;
0;0;;;;;
0;49;;;;;
0;0;;;;;
64;112;;;;;
0;0;;;;;
0;0;;;;;
267;0;;;;;
0;0;;;;;
0;203;;;;;
185;0;;;;;
0;0;;;;;
254;8;;;;;
0;0;;;;;
0;105;;;;;
174;0;;;;;
0;0;;;;;
322;53;;;;;
9;0;;;;;
0;363;;;;;
57;26;;;;;
0;0;;;;;
208;200;;;;;
0;0;;;;;
0;0;;;;;
117;0;;;;;
0;0;;;;;
0;169;;;;;
85;0;;;;;
12;249;;;;;
3;46;;;;;
49;0;;;;;
0;97;;;;;
132;0;;;;;
0;283;;;;;
0;0;;;;;
0;0;;;;;
0;160;;;;;
114;0;;;;;
0;297;;;;;
289;27;;;;;
0;0;;;;;
0;45;;;;;
64;0;;;;;
0;240;;;;;
365;0;;;;;
16;0;;;;;
0;43;;;;;
55;0;;;;;
0;166;;;;;
246;0;;;;;
0;0;;;;;
0;21;;;;;
111;0;;;;;
0;187;;;;;
0;0;;;;;
30;0;;;;;
0;29;;;;;
229;0;;;;;
0;205;;;;;
0;8;;;;;
103;0;;;;;
0;0;;;;;
175;0;;;;;
0;164;;;;;
0;0;;;;;
0;0;;;;;
0;79;;;;;
147;0;;;;;
0;234;;;;;
0;0;;;;;
30;0;;;;;
0;37;;;;;
164;0;;;;;
0;288;;;;;
0;0;;;;;
3;0;;;;;
0;59;;;;;
165;0;;;;;
0;244;;;;;
0;0;;;;;
32;0;;;;;
0;110;;;;;
160;0;;;;;
0;259;;;;;
0;19;;;;;
26;0;;;;;
0;24;;;;;
188;0;;;;;
5;224;;;;;
0;0;;;;;
0;0;;;;;
0;74;;;;;
112;0;;;;;
0;129;;;;;
0;0;;;;;
51;0;;;;;
0;0;;;;;
115;0;;;;;
0;179;;;;;
0;0;;;;;
0;0;;;;;
0;0;;;;;
179;138;;;;;
0;0;;;;;
0;0;;;;;
11;2;;;;;
0;0;;;;;
314;75;;;;;
0;0;;;;;
0;0;;;;;
103;0;;;;;
0;0;;;;;
231;123;;;;;
0;0;;;;;
0;294;;;;;
29;0;;;;;
0;0;;;;;
243;0;;;;;
0;0;;;;;
0;272;;;;;
4;0;;;;;
0;0;;;;;
141;185;;;;;
0;0;;;;;
0;0;;;;;
9;0;;;;;
0;0;;;;;
151;163;;;;;
0;0;;;;;
0;0;;;;;
5;67;;;;;
0;0;;;;;
233;154;;;;;
0;0;;;;;
0;0;;;;;
57;0;;;;;
0;0;;;;;
132;207;;;;;
0;0;;;;;
0;0;;;;;
0;11;;;;;
0;0;;;;;
198;137;;;;;
0;0;;;;;
0;335;;;;;
0;45;;;;;
0;0;;;;;
131;103;;;;;
0;0;;;;;
0;265;;;;;
13;0;;;;;
0;0;;;;;
170;16;;;;;
0;0;;;;;
0;162;;;;;
0;0;;;;;
0;0;;;;;
156;22;;;;;
96;0;;;;;
0;207;;;;;
311;0;;;;;
3;0;;;;;
0;0;;;;;
0;0;;;;;
0;141;;;;;
192;0;;;;;
0;0;;;;;
0;60;;;;;
90;0;;;;;
0;83;;;;;
148;0;;;;;
0;65;;;;;
0;0;;;;;
12;0;;;;;
0;194;;;;;
225;0;;;;;
0;0;;;;;
0;14;;;;;
65;0;;;;;
0;55;;;;;
294;0;;;;;
2;281;;;;;
0;0;;;;;
192;0;;;;;
0;96;;;;;
0;0;;;;;
35;300;;;;;
0;0;;;;;
184;0;;;;;
0;49;;;;;
0;0;;;;;
2;301;;;;;
0;12;;;;;
210;0;;;;;
0;49;;;;;
0;0;;;;;
103;240;;;;;
0;0;;;;;
176;0;;;;;
0;91;;;;;
0;0;;;;;
0;240;;;;;
0;233;;;;;
272;0;;;;;
0;0;;;;;
0;0;;;;;
49;0;;;;;
0;192;;;;;
209;0;;;;;
0;0;;;;;
0;79;;;;;
52;0;;;;;
0;176;;;;;
251;0;;;;;
0;0;;;;;
0;0;;;;;
28;0;;;;;
0;78;;;;;
224;0;;;;;
0;55;;;;;
0;0;;;;;
112;0;;;;;
0;48;;;;;
187;0;;;;;
0;399;;;;;
0;10;;;;;
0;0;;;;;
0;111;;;;;
240;0;;;;;
0;240;;;;;
0;0;;;;;
34;0;;;;;
0;66;;;;;
165;0;;;;;
0;304;;;;;
0;19;;;;;
109;0;;;;;
0;58;;;;;
283;0;;;;;
5;298;;;;;
0;0;;;;;
0;0;;;;;
0;147;;;;;
172;0;;;;;
0;324;;;;;
0;44;;;;;
28;0;;;;;
0;101;;;;;
165;0;;;;;
0;0;;;;;
103;0;;;;;
0;66;;;;;
0;0;;;;;
135;240;;;;;
0;7;;;;;
0;0;;;;;
39;0;;;;;
0;0;;;;;
0;226;;;;;
304;0;;;;;
0;0;;;;;
0;55;;;;;
183;0;;;;;
0;187;;;;;
240;0;;;;;
43;0;;;;;
0;14;;;;;
76;0;;;;;
0;240;;;;;
269;0;;;;;
0;0;;;;;
0;53;;;;;
126;0;;;;;
0;221;;;;;
295;0;;;;;
0;0;;;;;
0;71;;;;;
48;0;;;;;
0;197;;;;;
297;0;;;;;
8;0;;;;;
0;3;;;;;
59;0;;;;;
0;221;;;;;
218;0;;;;;
0;0;;;;;
0;76;;;;;
77;0;;;;;
0;234;;;;;
181;12;;;;;
0;0;;;;;
0;3;;;;;
0;0;;;;;
0;203;;;;;
241;0;;;;;
0;0;;;;;
0;75;;;;;
21;0;;;;;
0;176;;;;;
130;0;;;;;
0;0;;;;;
0;9;;;;;
11;0;;;;;
0;189;;;;;
186;0;;;;;
0;0;;;;;
0;0;;;;;
11;0;;;;;
60;176;;;;;
0;0;;;;;
256;0;;;;;
0;74;;;;;
0;0;;;;;
108;193;;;;;
0;1;;;;;
272;0;;;;;
13;16;;;;;
0;0;;;;;
29;154;;;;;
0;0;;;;;
335;0;;;;;
0;6;;;;;
0;0;;;;;
74;82;;;;;
0;0;;;;;
240;15;;;;;
0;0;;;;;
0;0;;;;;
29;145;;;;;
0;0;;;;;
313;0;;;;;
0;0;;;;;
0;0;;;;;
44;129;;;;;
0;0;;;;;
173;0;;;;;
0;63;;;;;
0;0;;;;;
12;81;;;;;
0;0;;;;;
208;268;;;;;
0;0;;;;;
0;0;;;;;
11;177;;;;;
0;0;;;;;
204;48;;;;;
0;4;;;;;
0;0;;;;;
83;70;;;;;
0;0;;;;;
163;208;;;;;
0;0;;;;;
0;0;;;;;
0;142;;;;;
0;33;;;;;
183;0;;;;;
0;256;;;;;
0;0;;;;;
128;0;;;;;
0;26;;;;;
0;0;;;;;
0;381;;;;;
0;0;;;;;
198;0;;;;;
0;62;;;;;
347;0;;;;;
16;179;;;;;
0;0;;;;;
197;0;;;;;
0;4;;;;;
431;0;;;;;
112;241;;;;;
0;0;;;;;
115;0;;;;;
0;49;;;;;
293;0;;;;;
0;241;;;;;
0;0;;;;;
54;0;;;;;
0;143;;;;;
288;0;;;;;
0;230;;;;;
0;0;;;;;
64;0;;;;;
0;46;;;;;
264;0;;;;;
0;289;;;;;
0;0;;;;;
78;0;;;;;
0;101;;;;;
350;0;;;;;
20;291;;;;;
0;0;;;;;
58;0;;;;;
0;47;;;;;
269;0;;;;;
0;274;;;;;
0;0;;;;;
144;0;;;;;
0;108;;;;;
304;0;;;;;
0;255;;;;;
0;0;;;;;
37;0;;;;;
0;0;;;;;
0;0;;;;;
80;0;;;;;
0;155;;;;;
283;0;;;;;
0;0;;;;;
0;0;;;;;
84;0;;;;;
0;87;;;;;
335;0;;;;;
57;226;;;;;
0;0;;;;;
94;0;;;;;
0;96;;;;;
278;0;;;;;
0;0;;;;;
0;0;;;;;
144;0;;;;;
0;141;;;;;
258;0;;;;;
0;0;;;;;
0;65;;;;;
0;0;;;;;
0;204;;;;;
246;0;;;;;
0;0;;;;;
0;6;;;;;
39;0;;;;;
0;209;;;;;
172;4;;;;;
0;0;;;;;
0;5;;;;;
0;0;;;;;
0;144;;;;;
186;0;;;;;
0;0;;;;;
0;86;;;;;
0;0;;;;;
0;160;;;;;
169;0;;;;;
0;326;;;;;
0;0;;;;;
70;0;;;;;
0;191;;;;;
155;0;;;;;
0;339;;;;;
0;45;;;;;
0;0;;;;;
0;80;;;;;
79;0;;;;;
0;302;;;;;
0;69;;;;;
139;0;;;;;
0;271;;;;;
282;24;;;;;
0;0;;;;;
0;17;;;;;
41;0;;;;;
0;240;;;;;
277;0;;;;;
1;0;;;;;
0;142;;;;;
43;0;;;;;
0;270;;;;;
252;0;;;;;
0;0;;;;;
0;16;;;;;
99;0;;;;;
0;224;;;;;
205;0;;;;;
0;0;;;;;
0;109;;;;;
3;0;;;;;
0;238;;;;;
272;0;;;;;
0;0;;;;;
0;0;;;;;
48;0;;;;;
0;240;;;;;
186;0;;;;;
0;0;;;;;
0;55;;;;;
1;0;;;;;
0;226;;;;;
213;0;;;;;
22;0;;;;;
0;37;;;;;
23;0;;;;;
0;282;;;;;
224;3;;;;;
0;0;;;;;
0;55;;;;;
81;0;;;;;
0;209;;;;;
133;0;;;;;
0;0;;;;;
0;117;;;;;
0;0;;;;;
0;311;;;;;
250;0;;;;;
0;109;;;;;
0;0;;;;;
39;315;;;;;
0;0;;;;;
0;0;;;;;
7;102;;;;;
0;0;;;;;
217;176;;;;;
0;0;;;;;
0;0;;;;;
0;45;;;;;
0;0;;;;;
124;187;;;;;
0;0;;;;;
0;0;;;;;
80;37;;;;;
0;0;;;;;
212;193;;;;;
0;0;;;;;
0;0;;;;;
0;0;;;;;
0;0;;;;;
207;149;;;;;
0;0;;;;;
69;0;;;;;
50;100;;;;;
0;0;;;;;
89;143;;;;;
0;0;;;;;
292;0;;;;;
0;0;;;;;
0;0;;;;;
123;192;;;;;
0;0;;;;;
316;0;;;;;
0;13;;;;;
0;0;;;;;
37;67;;;;;
0;0;;;;;
304;287;;;;;
0;0;;;;;
0;0;;;;;
64;101;;;;;
0;0;;;;;
217;283;;;;;
0;0;;;;;
0;0;;;;;
80;16;;;;;
0;144;;;;;
206;0;;;;;
0;263;;;;;
0;0;;;;;
11;0;;;;;
0;51;;;;;
201;0;;;;;
0;240;;;;;
0;0;;;;;
0;0;;;;;
0;142;;;;;
181;0;;;;;
0;324;;;;;
0;0;;;;;
96;0;;;;;
0;67;;;;;
205;0;;;;;
3;147;;;;;
0;22;;;;;
6;0;;;;;
0;123;;;;;
368;0;;;;;
0;0;;;;;
0;0;;;;;
89;0;;;;;
0;94;;;;;
284;0;;;;;
0;0;;;;;
0;62;;;;;
147;0;;;;;
0;177;;;;;
275;0;;;;;
0;0;;;;;
0;0;;;;;
70;0;;;;;
0;146;;;;;
289;0;;;;;
13;0;;;;;
0;48;;;;;
47;0;;;;;
0;177;;;;;
272;0;;;;;
0;0;;;;;
0;0;;;;;
71;0;;;;;
0;256;;;;;
187;0;;;;;
0;0;;;;;
0;47;;;;;
0;0;;;;;
0;231;;;;;
181;230;;;;;
0;0;;;;;
0;0;;;;;
17;65;;;;;
0;0;;;;;
0;198;;;;;
262;0;;;;;
0;0;;;;;
0;0;;;;;
105;0;;;;;
0;141;;;;;
246;0;;;;;
0;0;;;;;
0;0;;;;;
27;0;;;;;
0;118;;;;;
328;0;;;;;
0;89;;;;;
0;0;;;;;
70;0;;;;;
0;113;;;;;
242;0;;;;;
0;281;;;;;
0;0;;;;;
138;0;;;;;
0;49;;;;;
289;0;;;;;
7;240;;;;;
0;0;;;;;
32;0;;;;;
0;33;;;;;
203;0;;;;;
0;199;;;;;
0;0;;;;;
93;0;;;;;
0;80;;;;;
128;0;;;;;
0;132;;;;;
0;0;;;;;
0;0;;;;;
0;0;;;;;
265;0;;;;;
0;134;;;;;
0;0;;;;;
38;0;;;;;
0;33;;;;;
128;0;;;;;
0;77;;;;;
0;0;;;;;
0;293;;;;;
0;99;;;;;
177;0;;;;;
0;197;;;;;
0;0;;;;;
0;0;;;;;
0;14;;;;;
293;0;;;;;
0;109;;;;;
0;0;;;;;
100;0;;;;;
0;17;;;;;
272;0;;;;;
0;154;;;;;
0;0;;;;;
33;0;;;;;
0;24;;;;;
283;0;;;;;
0;292;;;;;
0;12;;;;;
52;0;;;;;
0;156;;;;;
219;0;;;;;
0;256;;;;;
0;7;;;;;
112;0;;;;;
0;79;;;;;
129;0;;;;;
0;333;;;;;
0;16;;;;;
9;0;;;;;
0;30;;;;;
170;0;;;;;
0;197;;;;;
0;0;;;;;
78;0;;;;;
0;16;;;;;
204;0;;;;;
0;174;;;;;
0;0;;;;;
0;0;;;;;
0;0;;;;;
175;0;;;;;
0;112;;;;;
0;0;;;;;
41;0;;;;;
0;48;;;;;
147;0;;;;;
0;158;;;;;
245;147;;;;;
0;0;;;;;
0;260;;;;;
126;25;;;;;
0;0;;;;;
336;19;;;;;
0;0;;;;;
0;208;;;;;
0;0;;;;;
92;0;;;;;
0;97;;;;;
271;0;;;;;
0;209;;;;;
0;0;;;;;
38;0;;;;;
0;20;;;;;
304;0;;;;;
0;257;;;;;
0;0;;;;;
51;0;;;;;
0;17;;;;;
231;0;;;;;
0;129;;;;;
0;0;;;;;
51;0;;;;;
0;0;;;;;
211;0;;;;;
0;141;;;;;
0;0;;;;;
16;0;;;;;
0;0;;;;;
215;0;;;;;
0;144;;;;;
0;0;;;;;
107;0;;;;;
0;32;;;;;
176;0;;;;;
0;96;;;;;
0;0;;;;;
0;224;;;;;
0;0;;;;;
291;0;;;;;
0;174;;;;;
0;0;;;;;
47;304;;;;;
0;3;;;;;
150;0;;;;;
0;38;;;;;
0;0;;;;;
0;151;;;;;
0;272;;;;;
177;0;;;;;
0;0;;;;;
0;119;;;;;
0;0;;;;;
0;269;;;;;
112;0;;;;;
0;0;;;;;
0;36;;;;;
0;0;;;;;
274;362;;;;;
0;0;;;;;
243;0;;;;;
11;81;;;;;
0;0;;;;;
73;282;;;;;
0;0;;;;;
300;0;;;;;
0;81;;;;;
0;0;;;;;
118;261;;;;;
0;14;;;;;
287;0;;;;;
6;24;;;;;
0;0;;;;;
47;205;;;;;
0;0;;;;;
393;0;;;;;
0;93;;;;;
0;0;;;;;
48;249;;;;;
0;6;;;;;
204;0;;;;;
0;6;;;;;
0;0;;;;;
17;221;;;;;
0;0;;;;;
143;0;;;;;
0;95;;;;;
292;0;;;;;
0;187;;;;;
0;0;;;;;
165;0;;;;;
0;0;;;;;
256;0;;;;;
0;186;;;;;
0;0;;;;;
64;0;;;;;
0;34;;;;;
279;151;;;;;
0;0;;;;;
0;0;;;;;
48;272;;;;;
0;0;;;;;
0;340;;;;;
17;0;;;;;
0;0;;;;;
144;63;;;;;
0;0;;;;;
0;207;;;;;
137;0;;;;;
0;0;;;;;
307;14;;;;;
0;0;;;;;
0;116;;;;;
43;0;;;;;
0;68;;;;;
299;18;;;;;
15;0;;;;;
0;98;;;;;
59;0;;;;;
0;0;;;;;
201;0;;;;;
0;0;;;;;
0;89;;;;;
65;0;;;;;
0;319;;;;;
165;29;;;;;
0;0;;;;;
0;66;;;;;
0;0;;;;;
0;272;;;;;
240;0;;;;;
0;0;;;;;
339;82;;;;;
16;0;;;;;
0;219;;;;;
77;0;;;;;
0;0;;;;;
300;14;;;;;
0;0;;;;;
0;226;;;;;
103;0;;;;;
0;0;;;;;
293;4;;;;;
0;0;;;;;
0;111;;;;;
56;0;;;;;
0;207;;;;;
358;323;;;;;
0;8;;;;;
0;0;;;;;
62;54;;;;;
0;0;;;;;
237;240;;;;;
0;0;;;;;
0;0;;;;;
0;146;;;;;
103;0;;;;;
0;320;;;;;
214;0;;;;;
0;0;;;;;
0;117;;;;;
0;0;;;;;
0;0;;;;;
243;1;;;;;
0;0;;;;;
308;160;;;;;
29;0;;;;;
0;0;;;;;
63;0;;;;;
0;0;;;;;
304;167;;;;;
0;0;;;;;
0;0;;;;;
101;57;;;;;
0;0;;;;;
229;131;;;;;
0;0;;;;;
0;0;;;;;
42;0;;;;;
0;0;;;;;
288;191;;;;;
8;0;;;;;
0;0;;;;;
33;27;;;;;
0;0;;;;;
203;122;;;;;
0;0;;;;;
0;0;;;;;
93;0;;;;;
0;0;;;;;
205;224;;;;;
0;0;;;;;
0;0;;;;;
0;18;;;;;
0;0;;;;;
180;209;;;;;
0;0;;;;;
0;0;;;;;
64;0;;;;;
0;192;;;;;
176;0;;;;;
0;0;;;;;
0;43;;;;;
0;0;;;;;
74;128;;;;;
0;0;;;;;
304;0;;;;;
0;0;;;;;
0;0;;;;;
71;137;;;;;
0;0;;;;;
240;0;;;;;
0;62;;;;;
0;0;;;;;
63;108;;;;;
0;0;;;;;
304;0;;;;;
22;0;;;;;
0;0;;;;;
35;163;;;;;
0;0;;;;;
241;0;;;;;
0;0;;;;;
0;0;;;;;
115;112;;;;;
0;0;;;;;
253;0;;;;;
0;59;;;;;
0;0;;;;;
9;113;;;;;
0;0;;;;;
283;0;;;;;
0;0;;;;;
0;0;;;;;
58;212;;;;;
0;0;;;;;
130;339;;;;;
0;38;;;;;
0;0;;;;;
52;51;;;;;
0;0;;;;;
0;293;;;;;
66;0;;;;;
15;0;;;;;
405;94;;;;;
29;0;;;;;
0;208;;;;;
86;0;;;;;
0;0;;;;;
302;146;;;;;
0;0;;;;;
0;0;;;;;
183;32;;;;;
33;0;;;;;
0;69;;;;;
48;0;;;;;
0;294;;;;;
305;0;;;;;
0;0;;;;;
0;171;;;;;
121;0;;;;;
0;330;;;;;
272;0;;;;;
0;0;;;;;
0;58;;;;;
44;0;;;;;
0;227;;;;;
336;0;;;;;
11;0;;;;;
0;162;;;;;
91;0;;;;;
0;67;;;;;
256;0;;;;;
0;0;;;;;
0;97;;;;;
59;0;;;;;
0;0;;;;;
272;2;;;;;
9;0;;;;;
0;269;;;;;
5;0;;;;;
0;0;;;;;
194;0;;;;;
0;0;;;;;
0;143;;;;;
47;0;;;;;
0;0;;;;;
209;71;;;;;
0;0;;;;;
0;147;;;;;
0;0;;;;;
0;87;;;;;
182;0;;;;;
0;0;;;;;
0;192;;;;;
59;0;;;;;
0;318;;;;;
192;0;;;;;
0;0;;;;;
0;38;;;;;
0;0;;;;;
0;0;;;;;
266;79;;;;;
187;0;;;;;
0;188;;;;;
0;0;;;;;
0;0;;;;;
0;0;;;;;
144;0;;;;;
0;194;;;;;
0;0;;;;;
75;0;;;;;
0;28;;;;;
160;0;;;;;
0;124;;;;;
0;0;;;;;
0;112;;;;;
0;0;;;;;
181;0;;;;;
0;165;;;;;
0;0;;;;;
12;0;;;;;
0;0;;;;;
111;0;;;;;
0;96;;;;;
401;0;;;;;
18;65;;;;;
0;0;;;;;
115;0;;;;;
0;115;;;;;
111;0;;;;;
0;0;;;;;
0;0;;;;;
93;0;;;;;
0;109;;;;;
313;0;;;;;
16;0;;;;;
0;41;;;;;
64;0;;;;;
0;144;;;;;
276;0;;;;;
0;0;;;;;
0;0;;;;;
98;0;;;;;
0;226;;;;;
215;0;;;;;
0;0;;;;;
0;43;;;;;
1;0;;;;;
0;212;;;;;
199;0;;;;;
0;0;;;;;
0;144;;;;;
359;0;;;;;
28;0;;;;;
0;64;;;;;
63;0;;;;;
0;175;;;;;
279;0;;;;;
0;0;;;;;
0;0;;;;;
102;0;;;;;
0;178;;;;;
259;0;;;;;
0;0;;;;;
0;4;;;;;
53;0;;;;;
0;112;;;;;
353;0;;;;;
21;345;;;;;
0;66;;;;;
123;0;;;;;
0;112;;;;;
0;0;;;;;
0;333;;;;;
0;0;;;;;
245;0;;;;;
0;60;;;;;
0;0;;;;;
73;0;;;;;
0;44;;;;;
148;0;;;;;
0;242;;;;;
0;0;;;;;
15;0;;;;;
0;42;;;;;
182;0;;;;;
0;278;;;;;
0;0;;;;;
81;0;;;;;
